flight_id;flight_no;scheduled_departure;scheduled_arrival;departure_airport;arrival_airport;status;aircraft_code;actual_departure;actual_arrival
8;PG0402;16.08.2017 9:25:00;16.08.2017 10:20:00;DME;LED;On Time;321;;
9;PG0405;25.08.2017 6:35:00;25.08.2017 7:30:00;DME;LED;Scheduled;321;;
10;PG0402;23.08.2017 9:25:00;23.08.2017 10:20:00;DME;LED;Scheduled;321;;
11;PG0403;23.08.2017 8:25:00;23.08.2017 9:20:00;DME;LED;Scheduled;321;;
12;PG0404;23.08.2017 16:05:00;23.08.2017 17:00:00;DME;LED;Scheduled;321;;
13;PG0405;23.08.2017 6:35:00;23.08.2017 7:30:00;DME;LED;Scheduled;321;;
14;PG0402;06.08.2017 9:25:00;06.08.2017 10:20:00;DME;LED;Arrived;321;06.08.2017 9:28:00;06.08.2017 10:23:00
15;PG0402;28.07.2017 9:25:00;28.07.2017 10:20:00;DME;LED;Arrived;321;28.07.2017 9:31:00;28.07.2017 10:26:00
16;PG0403;06.08.2017 8:25:00;06.08.2017 9:20:00;DME;LED;Arrived;321;06.08.2017 8:27:00;06.08.2017 9:22:00
17;PG0404;06.08.2017 16:05:00;06.08.2017 17:00:00;DME;LED;Arrived;321;06.08.2017 16:05:00;06.08.2017 17:00:00
18;PG0405;06.08.2017 6:35:00;06.08.2017 7:30:00;DME;LED;Arrived;321;06.08.2017 6:39:00;06.08.2017 7:35:00
19;PG0403;28.07.2017 8:25:00;28.07.2017 9:20:00;DME;LED;Arrived;321;28.07.2017 8:27:00;28.07.2017 9:22:00
20;PG0403;26.07.2017 8:25:00;26.07.2017 9:20:00;DME;LED;Arrived;321;26.07.2017 8:28:00;26.07.2017 9:23:00
21;PG0405;19.07.2017 6:35:00;19.07.2017 7:30:00;DME;LED;Arrived;321;19.07.2017 6:36:00;19.07.2017 7:31:00
22;PG0404;19.07.2017 16:05:00;19.07.2017 17:00:00;DME;LED;Arrived;321;19.07.2017 16:06:00;19.07.2017 17:00:00
23;PG0403;19.07.2017 8:25:00;19.07.2017 9:20:00;DME;LED;Arrived;321;19.07.2017 8:29:00;19.07.2017 9:25:00
24;PG0402;19.07.2017 9:25:00;19.07.2017 10:20:00;DME;LED;Arrived;321;19.07.2017 9:29:00;19.07.2017 10:24:00
25;PG0404;28.07.2017 16:05:00;28.07.2017 17:00:00;DME;LED;Arrived;321;28.07.2017 16:11:00;28.07.2017 17:06:00
26;PG0405;12.08.2017 6:35:00;12.08.2017 7:30:00;DME;LED;Arrived;321;12.08.2017 9:41:00;12.08.2017 10:37:00
27;PG0404;12.08.2017 16:05:00;12.08.2017 17:00:00;DME;LED;Arrived;321;12.08.2017 16:07:00;12.08.2017 17:02:00
28;PG0405;03.09.2017 6:35:00;03.09.2017 7:30:00;DME;LED;Scheduled;321;;
29;PG0403;12.08.2017 8:25:00;12.08.2017 9:20:00;DME;LED;Arrived;321;12.08.2017 8:28:00;12.08.2017 9:23:00
30;PG0402;12.08.2017 9:25:00;12.08.2017 10:20:00;DME;LED;Arrived;321;12.08.2017 9:28:00;12.08.2017 10:23:00
31;PG0404;03.09.2017 16:05:00;03.09.2017 17:00:00;DME;LED;Scheduled;321;;
32;PG0403;03.09.2017 8:25:00;03.09.2017 9:20:00;DME;LED;Scheduled;321;;
33;PG0402;03.09.2017 9:25:00;03.09.2017 10:20:00;DME;LED;Scheduled;321;;
34;PG0402;07.08.2017 9:25:00;07.08.2017 10:20:00;DME;LED;Arrived;321;07.08.2017 9:29:00;07.08.2017 10:24:00
35;PG0403;07.08.2017 8:25:00;07.08.2017 9:20:00;DME;LED;Arrived;321;07.08.2017 8:29:00;07.08.2017 9:24:00
36;PG0404;07.08.2017 16:05:00;07.08.2017 17:00:00;DME;LED;Arrived;321;07.08.2017 16:09:00;07.08.2017 17:04:00
37;PG0405;07.08.2017 6:35:00;07.08.2017 7:30:00;DME;LED;Arrived;321;07.08.2017 6:38:00;07.08.2017 7:34:00
38;PG0405;28.07.2017 6:35:00;28.07.2017 7:30:00;DME;LED;Arrived;321;28.07.2017 6:36:00;28.07.2017 7:30:00
39;PG0405;08.09.2017 6:35:00;08.09.2017 7:30:00;DME;LED;Scheduled;321;;
40;PG0402;13.09.2017 9:25:00;13.09.2017 10:20:00;DME;LED;Scheduled;321;;
41;PG0403;13.09.2017 8:25:00;13.09.2017 9:20:00;DME;LED;Scheduled;321;;
42;PG0404;13.09.2017 16:05:00;13.09.2017 17:00:00;DME;LED;Scheduled;321;;
43;PG0405;13.09.2017 6:35:00;13.09.2017 7:30:00;DME;LED;Scheduled;321;;
44;PG0404;08.09.2017 16:05:00;08.09.2017 17:00:00;DME;LED;Scheduled;321;;
45;PG0403;08.09.2017 8:25:00;08.09.2017 9:20:00;DME;LED;Scheduled;321;;
46;PG0405;15.08.2017 6:35:00;15.08.2017 7:30:00;DME;LED;Arrived;321;15.08.2017 6:38:00;15.08.2017 7:33:00
47;PG0404;15.08.2017 16:05:00;15.08.2017 17:00:00;DME;LED;On Time;321;;
48;PG0403;15.08.2017 8:25:00;15.08.2017 9:20:00;DME;LED;Arrived;321;15.08.2017 8:30:00;15.08.2017 9:25:00
49;PG0402;15.08.2017 9:25:00;15.08.2017 10:20:00;DME;LED;Arrived;321;15.08.2017 9:28:00;15.08.2017 10:24:00
50;PG0402;08.08.2017 9:25:00;08.08.2017 10:20:00;DME;LED;Arrived;321;08.08.2017 9:26:00;08.08.2017 10:21:00
51;PG0403;08.08.2017 8:25:00;08.08.2017 9:20:00;DME;LED;Arrived;321;08.08.2017 8:25:00;08.08.2017 9:20:00
52;PG0404;08.08.2017 16:05:00;08.08.2017 17:00:00;DME;LED;Arrived;321;08.08.2017 19:05:00;08.08.2017 19:59:00
53;PG0405;08.08.2017 6:35:00;08.08.2017 7:30:00;DME;LED;Arrived;321;08.08.2017 6:35:00;08.08.2017 7:30:00
54;PG0405;18.07.2017 6:35:00;18.07.2017 7:30:00;DME;LED;Arrived;321;18.07.2017 6:40:00;18.07.2017 7:35:00
55;PG0404;18.07.2017 16:05:00;18.07.2017 17:00:00;DME;LED;Arrived;321;18.07.2017 16:08:00;18.07.2017 17:03:00
56;PG0403;18.07.2017 8:25:00;18.07.2017 9:20:00;DME;LED;Arrived;321;18.07.2017 11:48:00;18.07.2017 12:43:00
57;PG0402;18.07.2017 9:25:00;18.07.2017 10:20:00;DME;LED;Arrived;321;18.07.2017 9:29:00;18.07.2017 10:24:00
58;PG0402;08.09.2017 9:25:00;08.09.2017 10:20:00;DME;LED;Scheduled;321;;
59;PG0402;26.07.2017 9:25:00;26.07.2017 10:20:00;DME;LED;Arrived;321;26.07.2017 9:28:00;26.07.2017 10:23:00
60;PG0402;16.07.2017 9:25:00;16.07.2017 10:20:00;DME;LED;Arrived;321;16.07.2017 9:27:00;16.07.2017 10:22:00
61;PG0403;16.07.2017 8:25:00;16.07.2017 9:20:00;DME;LED;Arrived;321;16.07.2017 12:15:00;16.07.2017 13:10:00
62;PG0404;16.07.2017 16:05:00;16.07.2017 17:00:00;DME;LED;Arrived;321;16.07.2017 16:08:00;16.07.2017 17:03:00
63;PG0402;30.08.2017 9:25:00;30.08.2017 10:20:00;DME;LED;Scheduled;321;;
64;PG0403;30.08.2017 8:25:00;30.08.2017 9:20:00;DME;LED;Scheduled;321;;
65;PG0405;02.09.2017 6:35:00;02.09.2017 7:30:00;DME;LED;Scheduled;321;;
66;PG0404;02.09.2017 16:05:00;02.09.2017 17:00:00;DME;LED;Scheduled;321;;
67;PG0404;26.07.2017 16:05:00;26.07.2017 17:00:00;DME;LED;Arrived;321;26.07.2017 16:06:00;26.07.2017 17:01:00
68;PG0403;02.09.2017 8:25:00;02.09.2017 9:20:00;DME;LED;Scheduled;321;;
69;PG0402;02.09.2017 9:25:00;02.09.2017 10:20:00;DME;LED;Scheduled;321;;
70;PG0404;30.08.2017 16:05:00;30.08.2017 17:00:00;DME;LED;Scheduled;321;;
71;PG0405;30.08.2017 6:35:00;30.08.2017 7:30:00;DME;LED;Scheduled;321;;
72;PG0402;09.08.2017 9:25:00;09.08.2017 10:20:00;DME;LED;Arrived;321;09.08.2017 9:27:00;09.08.2017 10:23:00
73;PG0403;09.08.2017 8:25:00;09.08.2017 9:20:00;DME;LED;Arrived;321;09.08.2017 8:30:00;09.08.2017 9:27:00
74;PG0404;09.08.2017 16:05:00;09.08.2017 17:00:00;DME;LED;Arrived;321;09.08.2017 19:18:00;09.08.2017 20:13:00
75;PG0405;09.08.2017 6:35:00;09.08.2017 7:30:00;DME;LED;Arrived;321;09.08.2017 6:39:00;09.08.2017 7:35:00
76;PG0405;09.09.2017 6:35:00;09.09.2017 7:30:00;DME;LED;Scheduled;321;;
77;PG0402;21.08.2017 9:25:00;21.08.2017 10:20:00;DME;LED;Scheduled;321;;
78;PG0402;14.09.2017 9:25:00;14.09.2017 10:20:00;DME;LED;Scheduled;321;;
79;PG0403;14.09.2017 8:25:00;14.09.2017 9:20:00;DME;LED;Scheduled;321;;
80;PG0404;14.09.2017 16:05:00;14.09.2017 17:00:00;DME;LED;Scheduled;321;;
81;PG0405;14.09.2017 6:35:00;14.09.2017 7:30:00;DME;LED;Scheduled;321;;
82;PG0402;13.08.2017 9:25:00;13.08.2017 10:20:00;DME;LED;Arrived;321;13.08.2017 9:30:00;13.08.2017 10:25:00
83;PG0402;10.08.2017 9:25:00;10.08.2017 10:20:00;DME;LED;Arrived;321;10.08.2017 12:54:00;10.08.2017 13:51:00
84;PG0403;10.08.2017 8:25:00;10.08.2017 9:20:00;DME;LED;Arrived;321;10.08.2017 8:28:00;10.08.2017 9:23:00
85;PG0404;10.08.2017 16:05:00;10.08.2017 17:00:00;DME;LED;Arrived;321;10.08.2017 16:10:00;10.08.2017 17:06:00
86;PG0405;10.08.2017 6:35:00;10.08.2017 7:30:00;DME;LED;Arrived;321;10.08.2017 6:37:00;10.08.2017 7:33:00
87;PG0405;17.07.2017 6:35:00;17.07.2017 7:30:00;DME;LED;Arrived;321;17.07.2017 6:40:00;17.07.2017 7:36:00
88;PG0404;17.07.2017 16:05:00;17.07.2017 17:00:00;DME;LED;Arrived;321;17.07.2017 16:06:00;17.07.2017 17:02:00
89;PG0403;17.07.2017 8:25:00;17.07.2017 9:20:00;DME;LED;Arrived;321;17.07.2017 8:30:00;17.07.2017 9:25:00
90;PG0402;17.07.2017 9:25:00;17.07.2017 10:20:00;DME;LED;Arrived;321;17.07.2017 9:25:00;17.07.2017 10:20:00
91;PG0405;14.08.2017 6:35:00;14.08.2017 7:30:00;DME;LED;Arrived;321;14.08.2017 6:37:00;14.08.2017 7:33:00
92;PG0404;14.08.2017 16:05:00;14.08.2017 17:00:00;DME;LED;Arrived;321;14.08.2017 16:05:00;14.08.2017 17:00:00
93;PG0403;14.08.2017 8:25:00;14.08.2017 9:20:00;DME;LED;Arrived;321;14.08.2017 8:26:00;14.08.2017 9:21:00
94;PG0402;24.08.2017 9:25:00;24.08.2017 10:20:00;DME;LED;Scheduled;321;;
95;PG0403;24.08.2017 8:25:00;24.08.2017 9:20:00;DME;LED;Scheduled;321;;
96;PG0402;14.08.2017 9:25:00;14.08.2017 10:20:00;DME;LED;Arrived;321;14.08.2017 9:30:00;14.08.2017 10:25:00
97;PG0404;24.08.2017 16:05:00;24.08.2017 17:00:00;DME;LED;Scheduled;321;;
98;PG0405;24.08.2017 6:35:00;24.08.2017 7:30:00;DME;LED;Scheduled;321;;
99;PG0403;21.08.2017 8:25:00;21.08.2017 9:20:00;DME;LED;Scheduled;321;;
100;PG0402;10.09.2017 9:25:00;10.09.2017 10:20:00;DME;LED;Scheduled;321;;
101;PG0405;01.09.2017 6:35:00;01.09.2017 7:30:00;DME;LED;Scheduled;321;;
102;PG0404;01.09.2017 16:05:00;01.09.2017 17:00:00;DME;LED;Scheduled;321;;
103;PG0403;01.09.2017 8:25:00;01.09.2017 9:20:00;DME;LED;Scheduled;321;;
104;PG0402;01.09.2017 9:25:00;01.09.2017 10:20:00;DME;LED;Scheduled;321;;
105;PG0403;10.09.2017 8:25:00;10.09.2017 9:20:00;DME;LED;Scheduled;321;;
106;PG0402;11.08.2017 9:25:00;11.08.2017 10:20:00;DME;LED;Arrived;321;11.08.2017 9:27:00;11.08.2017 10:23:00
107;PG0403;11.08.2017 8:25:00;11.08.2017 9:20:00;DME;LED;Arrived;321;11.08.2017 8:27:00;11.08.2017 9:21:00
108;PG0404;11.08.2017 16:05:00;11.08.2017 17:00:00;DME;LED;Arrived;321;11.08.2017 16:10:00;11.08.2017 17:04:00
109;PG0405;11.08.2017 6:35:00;11.08.2017 7:30:00;DME;LED;Arrived;321;11.08.2017 6:36:00;11.08.2017 7:31:00
110;PG0403;13.08.2017 8:25:00;13.08.2017 9:20:00;DME;LED;Arrived;321;13.08.2017 8:28:00;13.08.2017 9:23:00
111;PG0404;10.09.2017 16:05:00;10.09.2017 17:00:00;DME;LED;Scheduled;321;;
112;PG0405;10.09.2017 6:35:00;10.09.2017 7:30:00;DME;LED;Scheduled;321;;
113;PG0404;13.08.2017 16:05:00;13.08.2017 17:00:00;DME;LED;Arrived;321;13.08.2017 16:07:00;13.08.2017 17:02:00
114;PG0405;13.08.2017 6:35:00;13.08.2017 7:30:00;DME;LED;Arrived;321;13.08.2017 6:39:00;13.08.2017 7:34:00
115;PG0402;31.08.2017 9:25:00;31.08.2017 10:20:00;DME;LED;Scheduled;321;;
116;PG0403;31.08.2017 8:25:00;31.08.2017 9:20:00;DME;LED;Scheduled;321;;
117;PG0405;27.08.2017 6:35:00;27.08.2017 7:30:00;DME;LED;Scheduled;321;;
118;PG0404;21.08.2017 16:05:00;21.08.2017 17:00:00;DME;LED;Scheduled;321;;
119;PG0404;27.08.2017 16:05:00;27.08.2017 17:00:00;DME;LED;Scheduled;321;;
120;PG0404;31.08.2017 16:05:00;31.08.2017 17:00:00;DME;LED;Scheduled;321;;
121;PG0405;31.08.2017 6:35:00;31.08.2017 7:30:00;DME;LED;Scheduled;321;;
122;PG0405;21.08.2017 6:35:00;21.08.2017 7:30:00;DME;LED;Scheduled;321;;
123;PG0402;29.07.2017 9:25:00;29.07.2017 10:20:00;DME;LED;Arrived;321;29.07.2017 9:27:00;29.07.2017 10:22:00
124;PG0403;29.07.2017 8:25:00;29.07.2017 9:20:00;DME;LED;Arrived;321;29.07.2017 8:25:00;29.07.2017 9:20:00
125;PG0404;29.07.2017 16:05:00;29.07.2017 17:00:00;DME;LED;Arrived;321;29.07.2017 16:07:00;29.07.2017 17:02:00
126;PG0405;29.07.2017 6:35:00;29.07.2017 7:30:00;DME;LED;Arrived;321;29.07.2017 6:37:00;29.07.2017 7:31:00
127;PG0403;27.08.2017 8:25:00;27.08.2017 9:20:00;DME;LED;Scheduled;321;;
128;PG0402;27.08.2017 9:25:00;27.08.2017 10:20:00;DME;LED;Scheduled;321;;
129;PG0405;24.07.2017 6:35:00;24.07.2017 7:30:00;DME;LED;Arrived;321;24.07.2017 6:41:00;24.07.2017 7:36:00
130;PG0404;24.07.2017 16:05:00;24.07.2017 17:00:00;DME;LED;Arrived;321;24.07.2017 16:05:00;24.07.2017 17:00:00
131;PG0403;24.07.2017 8:25:00;24.07.2017 9:20:00;DME;LED;Arrived;321;24.07.2017 8:28:00;24.07.2017 9:23:00
132;PG0402;24.07.2017 9:25:00;24.07.2017 10:20:00;DME;LED;Arrived;321;24.07.2017 9:29:00;24.07.2017 10:24:00
133;PG0405;19.08.2017 6:35:00;19.08.2017 7:30:00;DME;LED;Scheduled;321;;
134;PG0404;19.08.2017 16:05:00;19.08.2017 17:00:00;DME;LED;Scheduled;321;;
135;PG0403;19.08.2017 8:25:00;19.08.2017 9:20:00;DME;LED;Scheduled;321;;
136;PG0402;19.08.2017 9:25:00;19.08.2017 10:20:00;DME;LED;Scheduled;321;;
137;PG0404;25.08.2017 16:05:00;25.08.2017 17:00:00;DME;LED;Scheduled;321;;
138;PG0405;07.09.2017 6:35:00;07.09.2017 7:30:00;DME;LED;Scheduled;321;;
139;PG0402;30.07.2017 9:25:00;30.07.2017 10:20:00;DME;LED;Arrived;321;30.07.2017 9:30:00;30.07.2017 10:25:00
140;PG0403;30.07.2017 8:25:00;30.07.2017 9:20:00;DME;LED;Arrived;321;30.07.2017 8:27:00;30.07.2017 9:22:00
141;PG0404;30.07.2017 16:05:00;30.07.2017 17:00:00;DME;LED;Arrived;321;30.07.2017 16:10:00;30.07.2017 17:06:00
142;PG0405;30.07.2017 6:35:00;30.07.2017 7:30:00;DME;LED;Arrived;321;30.07.2017 6:35:00;30.07.2017 7:30:00
143;PG0404;07.09.2017 16:05:00;07.09.2017 17:00:00;DME;LED;Scheduled;321;;
144;PG0403;07.09.2017 8:25:00;07.09.2017 9:20:00;DME;LED;Scheduled;321;;
145;PG0402;07.09.2017 9:25:00;07.09.2017 10:20:00;DME;LED;Scheduled;321;;
146;PG0403;25.08.2017 8:25:00;25.08.2017 9:20:00;DME;LED;Scheduled;321;;
147;PG0402;28.08.2017 9:25:00;28.08.2017 10:20:00;DME;LED;Scheduled;321;;
148;PG0403;28.08.2017 8:25:00;28.08.2017 9:20:00;DME;LED;Scheduled;321;;
149;PG0404;28.08.2017 16:05:00;28.08.2017 17:00:00;DME;LED;Scheduled;321;;
150;PG0405;28.08.2017 6:35:00;28.08.2017 7:30:00;DME;LED;Scheduled;321;;
151;PG0405;20.08.2017 6:35:00;20.08.2017 7:30:00;DME;LED;Scheduled;321;;
152;PG0405;23.07.2017 6:35:00;23.07.2017 7:30:00;DME;LED;Arrived;321;23.07.2017 6:38:00;23.07.2017 7:32:00
153;PG0404;23.07.2017 16:05:00;23.07.2017 17:00:00;DME;LED;Arrived;321;23.07.2017 16:07:00;23.07.2017 17:02:00
154;PG0403;23.07.2017 8:25:00;23.07.2017 9:20:00;DME;LED;Arrived;321;23.07.2017 8:29:00;23.07.2017 9:24:00
155;PG0402;23.07.2017 9:25:00;23.07.2017 10:20:00;DME;LED;Arrived;321;23.07.2017 9:28:00;23.07.2017 10:24:00
156;PG0404;20.08.2017 16:05:00;20.08.2017 17:00:00;DME;LED;Scheduled;321;;
157;PG0402;31.07.2017 9:25:00;31.07.2017 10:20:00;DME;LED;Arrived;321;31.07.2017 9:32:00;31.07.2017 10:26:00
158;PG0403;31.07.2017 8:25:00;31.07.2017 9:20:00;DME;LED;Arrived;321;31.07.2017 8:26:00;31.07.2017 9:21:00
159;PG0404;31.07.2017 16:05:00;31.07.2017 17:00:00;DME;LED;Arrived;321;31.07.2017 16:05:00;31.07.2017 17:00:00
160;PG0405;31.07.2017 6:35:00;31.07.2017 7:30:00;DME;LED;Arrived;321;31.07.2017 6:40:00;31.07.2017 7:36:00
161;PG0403;20.08.2017 8:25:00;20.08.2017 9:20:00;DME;LED;Scheduled;321;;
162;PG0405;18.08.2017 6:35:00;18.08.2017 7:30:00;DME;LED;Scheduled;321;;
163;PG0402;20.08.2017 9:25:00;20.08.2017 10:20:00;DME;LED;Scheduled;321;;
164;PG0404;18.08.2017 16:05:00;18.08.2017 17:00:00;DME;LED;Scheduled;321;;
165;PG0403;18.08.2017 8:25:00;18.08.2017 9:20:00;DME;LED;Scheduled;321;;
166;PG0402;18.08.2017 9:25:00;18.08.2017 10:20:00;DME;LED;Scheduled;321;;
167;PG0402;27.07.2017 9:25:00;27.07.2017 10:20:00;DME;LED;Arrived;321;27.07.2017 9:26:00;27.07.2017 10:21:00
168;PG0405;06.09.2017 6:35:00;06.09.2017 7:30:00;DME;LED;Scheduled;321;;
169;PG0404;06.09.2017 16:05:00;06.09.2017 17:00:00;DME;LED;Scheduled;321;;
170;PG0403;06.09.2017 8:25:00;06.09.2017 9:20:00;DME;LED;Scheduled;321;;
171;PG0402;06.09.2017 9:25:00;06.09.2017 10:20:00;DME;LED;Scheduled;321;;
172;PG0402;11.09.2017 9:25:00;11.09.2017 10:20:00;DME;LED;Scheduled;321;;
173;PG0402;01.08.2017 9:25:00;01.08.2017 10:20:00;DME;LED;Arrived;321;01.08.2017 9:28:00;01.08.2017 10:22:00
174;PG0403;01.08.2017 8:25:00;01.08.2017 9:20:00;DME;LED;Arrived;321;01.08.2017 8:32:00;01.08.2017 9:28:00
175;PG0404;01.08.2017 16:05:00;01.08.2017 17:00:00;DME;LED;Arrived;321;01.08.2017 16:08:00;01.08.2017 17:04:00
176;PG0405;01.08.2017 6:35:00;01.08.2017 7:30:00;DME;LED;Arrived;321;01.08.2017 6:39:00;01.08.2017 7:33:00
177;PG0403;11.09.2017 8:25:00;11.09.2017 9:20:00;DME;LED;Scheduled;321;;
178;PG0404;11.09.2017 16:05:00;11.09.2017 17:00:00;DME;LED;Scheduled;321;;
179;PG0405;11.09.2017 6:35:00;11.09.2017 7:30:00;DME;LED;Scheduled;321;;
180;PG0403;27.07.2017 8:25:00;27.07.2017 9:20:00;DME;LED;Arrived;321;27.07.2017 8:27:00;27.07.2017 9:22:00
181;PG0404;27.07.2017 16:05:00;27.07.2017 17:00:00;DME;LED;Arrived;321;27.07.2017 16:07:00;27.07.2017 17:02:00
182;PG0405;22.07.2017 6:35:00;22.07.2017 7:30:00;DME;LED;Arrived;321;22.07.2017 6:39:00;22.07.2017 7:34:00
183;PG0405;27.07.2017 6:35:00;27.07.2017 7:30:00;DME;LED;Arrived;321;27.07.2017 6:37:00;27.07.2017 7:33:00
184;PG0404;22.07.2017 16:05:00;22.07.2017 17:00:00;DME;LED;Arrived;321;22.07.2017 16:06:00;22.07.2017 17:01:00
185;PG0403;22.07.2017 8:25:00;22.07.2017 9:20:00;DME;LED;Arrived;321;22.07.2017 8:30:00;22.07.2017 9:26:00
186;PG0402;22.07.2017 9:25:00;22.07.2017 10:20:00;DME;LED;Arrived;321;22.07.2017 9:28:00;22.07.2017 10:24:00
187;PG0402;22.08.2017 9:25:00;22.08.2017 10:20:00;DME;LED;Scheduled;321;;
188;PG0403;22.08.2017 8:25:00;22.08.2017 9:20:00;DME;LED;Scheduled;321;;
189;PG0404;22.08.2017 16:05:00;22.08.2017 17:00:00;DME;LED;Scheduled;321;;
190;PG0405;22.08.2017 6:35:00;22.08.2017 7:30:00;DME;LED;Scheduled;321;;
191;PG0402;02.08.2017 9:25:00;02.08.2017 10:20:00;DME;LED;Arrived;321;02.08.2017 12:42:00;02.08.2017 13:37:00
192;PG0403;02.08.2017 8:25:00;02.08.2017 9:20:00;DME;LED;Arrived;321;02.08.2017 8:27:00;02.08.2017 9:22:00
193;PG0404;02.08.2017 16:05:00;02.08.2017 17:00:00;DME;LED;Arrived;321;02.08.2017 18:59:00;02.08.2017 19:53:00
194;PG0405;02.08.2017 6:35:00;02.08.2017 7:30:00;DME;LED;Arrived;321;02.08.2017 6:38:00;02.08.2017 7:34:00
195;PG0402;25.08.2017 9:25:00;25.08.2017 10:20:00;DME;LED;Scheduled;321;;
196;PG0404;09.09.2017 16:05:00;09.09.2017 17:00:00;DME;LED;Scheduled;321;;
197;PG0405;05.09.2017 6:35:00;05.09.2017 7:30:00;DME;LED;Scheduled;321;;
198;PG0404;05.09.2017 16:05:00;05.09.2017 17:00:00;DME;LED;Scheduled;321;;
199;PG0403;05.09.2017 8:25:00;05.09.2017 9:20:00;DME;LED;Scheduled;321;;
200;PG0402;05.09.2017 9:25:00;05.09.2017 10:20:00;DME;LED;Scheduled;321;;
201;PG0405;17.08.2017 6:35:00;17.08.2017 7:30:00;DME;LED;Scheduled;321;;
202;PG0404;17.08.2017 16:05:00;17.08.2017 17:00:00;DME;LED;Scheduled;321;;
203;PG0403;17.08.2017 8:25:00;17.08.2017 9:20:00;DME;LED;Scheduled;321;;
204;PG0402;17.08.2017 9:25:00;17.08.2017 10:20:00;DME;LED;Scheduled;321;;
205;PG0402;03.08.2017 9:25:00;03.08.2017 10:20:00;DME;LED;Arrived;321;03.08.2017 9:29:00;03.08.2017 10:24:00
206;PG0403;03.08.2017 8:25:00;03.08.2017 9:20:00;DME;LED;Arrived;321;03.08.2017 8:28:00;03.08.2017 9:23:00
