ticket_no;flight_id;fare_conditions;amount
0005435630916;30625;Economy;14000,00
0005435212337;30625;Economy;14000,00
0005432211368;30625;Economy;14000,00
0005432211369;30625;Economy;14000,00
0005435212356;30625;Economy;14000,00
0005435212332;30625;Economy;15400,00
0005435212348;30625;Economy;15400,00
0005435212352;30625;Economy;14000,00
0005435212394;30625;Economy;14000,00
0005435212389;30625;Economy;14000,00
0005435212392;30625;Economy;14000,00
0005435212369;30625;Economy;14000,00
0005435212379;30625;Economy;14000,00
0005435725516;30625;Economy;14000,00
0005435212396;30625;Economy;14000,00
0005432159777;30625;Economy;14000,00
0005433656613;30625;Economy;14000,00
0005435725515;30625;Economy;14000,00
0005435212346;30625;Economy;14000,00
0005435212390;30625;Economy;14000,00
0005435212361;30625;Economy;14000,00
0005435212341;30625;Economy;14000,00
0005435212349;30625;Economy;14000,00
0005435725511;30625;Economy;14000,00
0005432159778;30625;Economy;14000,00
0005435212384;30625;Economy;14000,00
0005435630914;30625;Economy;14000,00
0005435212339;30625;Economy;14000,00
0005435212333;30625;Economy;14000,00
0005435212387;30625;Economy;14000,00
0005435212342;30625;Economy;14000,00
0005433367244;24836;Business;9800,00
0005433367229;24836;Business;9800,00
0005433367230;24836;Business;9800,00
0005433367245;24836;Business;9800,00
0005433367256;24836;Business;9800,00
0005433367225;24836;Business;9800,00
0005433367228;24836;Economy;3300,00
0005433367236;24836;Economy;3300,00
0005433367252;24836;Economy;3300,00
0005433367243;24836;Economy;3300,00
0005433367222;24836;Economy;3300,00
0005433367234;24836;Economy;3300,00
0005433367231;24836;Economy;3300,00
0005433367218;24836;Economy;3600,00
0005433367224;24836;Economy;3600,00
0005433367237;24836;Economy;3300,00
0005433367255;24836;Economy;3300,00
0005433367246;24836;Economy;3300,00
0005433367227;24836;Economy;3300,00
0005433367233;24836;Economy;3300,00
0005433367242;24836;Economy;3300,00
0005433367248;24836;Economy;3300,00
0005433367223;24836;Economy;3300,00
0005433367241;24836;Economy;3300,00
0005433367221;24836;Economy;3300,00
0005433367258;24836;Economy;3300,00
0005433367240;24836;Economy;3300,00
0005433367226;24836;Economy;3300,00
0005433367247;24836;Economy;3300,00
0005433367235;24836;Economy;3300,00
0005433367257;24836;Economy;3300,00
0005433367251;24836;Economy;3300,00
0005433367239;24836;Economy;3300,00
0005433367220;24836;Economy;3300,00
0005433367250;24836;Economy;3300,00
0005433367219;24836;Economy;3300,00
0005433367253;24836;Economy;3300,00
0005433367232;24836;Economy;3300,00
0005433367249;24836;Economy;3300,00
0005433367238;24836;Economy;3300,00
0005433367254;24836;Economy;3300,00
0005434979262;2055;Economy;10500,00
0005434979271;2055;Economy;10500,00
0005434979277;2055;Economy;9500,00
0005434979252;2055;Economy;9500,00
0005434979282;2055;Economy;9500,00
0005434979273;2055;Economy;9500,00
0005434979280;2055;Economy;9500,00
0005434979255;2055;Economy;9500,00
0005434979269;2055;Economy;9500,00
0005434979275;2055;Economy;9500,00
0005435801642;2055;Economy;9500,00
0005434979279;2055;Economy;9500,00
0005434979267;2055;Economy;9500,00
0005434979254;2055;Economy;9500,00
0005434979264;2055;Economy;9500,00
0005434979263;2055;Economy;9500,00
0005434979276;2055;Economy;9500,00
0005434979270;2055;Economy;9500,00
0005434979258;2055;Economy;9500,00
0005434979256;2055;Economy;9500,00
0005434979265;2055;Economy;9500,00
0005434979261;2055;Economy;9500,00
0005434979253;2055;Economy;9500,00
0005434979259;2055;Economy;9500,00
0005435801643;2055;Economy;9500,00
0005434979272;2055;Economy;9500,00
0005434979260;2055;Economy;9500,00
0005434979274;2055;Economy;9500,00
0005434979268;2055;Economy;9500,00
0005434979257;2055;Economy;9500,00
0005434979278;2055;Economy;9500,00
0005434979266;2055;Economy;9500,00
0005435801644;2055;Economy;9500,00
0005434979281;2055;Economy;9500,00
0005434952466;2575;Economy;5300,00
0005434952464;2575;Economy;5300,00
0005434952465;2575;Economy;5300,00
0005434952467;2575;Economy;5300,00
0005433256382;28205;Economy;5300,00
0005433256381;28205;Economy;5300,00
0005433111467;19732;Economy;8700,00
0005433111468;19732;Economy;8700,00
0005433112350;19732;Economy;8700,00
0005433111469;19732;Economy;8700,00
0005434190367;19092;Economy;26000,00
0005434190368;19092;Economy;23600,00
0005433534460;6786;Economy;10900,00
0005433534461;6786;Economy;9900,00
0005433534463;6786;Economy;9900,00
0005433538721;6786;Economy;9900,00
0005433538717;6786;Economy;9900,00
0005433538718;6786;Economy;9900,00
0005433534462;6786;Economy;9900,00
0005433538720;6786;Economy;9900,00
0005433538719;6786;Economy;9900,00
0005433538722;6786;Economy;9900,00
0005433538723;6786;Economy;9900,00
0005433538724;6786;Economy;9900,00
0005435259680;25029;Economy;9900,00
0005435259678;25029;Economy;9900,00
0005435259681;25029;Economy;9900,00
0005435259679;25029;Economy;9900,00
0005433511804;823;Economy;16100,00
0005433511803;823;Economy;14600,00
0005433511809;823;Economy;14600,00
0005433511807;823;Economy;14600,00
0005433511802;823;Economy;14600,00
0005433511801;823;Economy;14600,00
0005433511808;823;Economy;14600,00
0005433511806;823;Economy;14600,00
0005433511805;823;Economy;14600,00
0005432922454;16157;Economy;16100,00
0005432922455;16157;Economy;14600,00
0005432922453;16157;Economy;14600,00
0005433475633;4021;Economy;13500,00
0005433475632;4021;Economy;12300,00
0005433475631;4021;Economy;12300,00
0005433475630;4021;Economy;12300,00
0005435696849;3660;Economy;7900,00
0005435696846;3660;Economy;7900,00
0005434950451;3660;Economy;7200,00
0005435696864;3660;Economy;7200,00
0005435696862;3660;Economy;7200,00
0005435696847;3660;Economy;7200,00
0005435696850;3660;Economy;7200,00
0005435696866;3660;Economy;7200,00
0005435696843;3660;Economy;7200,00
0005435696863;3660;Economy;7200,00
0005435696851;3660;Economy;7200,00
0005434950450;3660;Economy;7200,00
0005435696870;3660;Economy;7200,00
0005434950452;3660;Economy;7200,00
0005435696859;3660;Economy;7200,00
0005435696871;3660;Economy;7200,00
0005435696855;3660;Economy;7200,00
0005435696869;3660;Economy;7200,00
0005435696852;3660;Economy;7200,00
0005435696857;3660;Economy;7200,00
0005435696853;3660;Economy;7200,00
0005435696845;3660;Economy;7200,00
0005435696844;3660;Economy;7200,00
0005435696856;3660;Economy;7200,00
0005435696858;3660;Economy;7200,00
0005435696865;3660;Economy;7200,00
0005435696848;3660;Economy;7200,00
0005435696861;3660;Economy;7200,00
0005435696860;3660;Economy;7200,00
0005435696854;3660;Economy;7200,00
0005435696867;3660;Economy;7200,00
0005435696868;3660;Economy;7200,00
0005435916119;16272;Economy;7200,00
0005435916118;16272;Economy;7200,00
0005432609659;3993;Economy;21300,00
0005432609661;3993;Economy;21300,00
0005432607495;3993;Economy;21300,00
0005434606760;3993;Economy;21300,00
0005432609658;3993;Economy;19300,00
0005434606759;3993;Economy;19300,00
0005434606763;3993;Economy;19300,00
0005433519378;3993;Economy;19300,00
0005432607494;3993;Economy;19300,00
0005433519379;3993;Economy;19300,00
0005434604838;3993;Economy;19300,00
0005434606761;3993;Economy;19300,00
0005433519377;3993;Economy;19300,00
0005432609660;3993;Economy;19300,00
0005434604839;3993;Economy;19300,00
0005434606762;3993;Economy;19300,00
0005433519380;3993;Economy;19300,00
0005432607496;3993;Economy;19300,00
0005434604837;3993;Economy;19300,00
0005435853578;22080;Economy;21300,00
0005435853580;22080;Economy;19300,00
0005435853579;22080;Economy;19300,00
0005435628670;728;Economy;3700,00
0005435628672;728;Economy;3700,00
0005435628669;728;Economy;3700,00
0005435628671;728;Economy;3700,00
0005433348889;15900;Economy;3700,00
0005433348891;15900;Economy;3700,00
0005433348887;15900;Economy;3700,00
0005433348888;15900;Economy;3700,00
0005433348890;15900;Economy;3700,00
0005433159275;17677;Economy;7100,00
0005433159274;17677;Economy;7100,00
0005433159276;17677;Economy;7100,00
0005435132700;7862;Economy;5400,00
0005435132696;7862;Economy;5400,00
0005435132694;7862;Economy;5400,00
0005435132695;7862;Economy;5400,00
0005435132698;7862;Economy;5400,00
0005435132697;7862;Economy;5400,00
0005435132699;7862;Economy;5400,00
0005435132703;7862;Economy;5400,00
0005435132704;7862;Economy;5400,00
0005435132702;7862;Economy;5400,00
0005435132701;7862;Economy;5400,00
0005435383058;33092;Economy;5900,00
0005435383057;33092;Economy;5400,00
0005435383056;33092;Economy;5400,00
0005435383059;33092;Economy;5400,00
0005435383055;33092;Economy;5400,00
0005435160112;7477;Economy;12500,00
0005435160111;7477;Economy;12500,00
0005435160106;7477;Economy;12500,00
0005435160104;7477;Economy;12500,00
0005435160109;7477;Economy;12500,00
0005435160103;7477;Economy;12500,00
0005435160105;7477;Economy;12500,00
0005435160110;7477;Economy;12500,00
0005435160113;7477;Economy;12500,00
0005435160107;7477;Economy;12500,00
0005435160108;7477;Economy;12500,00
0005435390116;29573;Economy;13800,00
0005435390120;29573;Economy;12500,00
0005435390121;29573;Economy;12500,00
0005435390122;29573;Economy;12500,00
0005435390118;29573;Economy;12500,00
0005435390117;29573;Economy;12500,00
0005435390119;29573;Economy;12500,00
0005434503467;6547;Business;48400,00
0005434503492;6547;Business;48400,00
0005434503487;6547;Economy;16100,00
0005434503465;6547;Economy;16100,00
0005434503495;6547;Economy;16100,00
0005434503472;6547;Economy;16100,00
0005434503463;6547;Economy;16100,00
0005434503469;6547;Economy;16100,00
0005434503460;6547;Economy;16100,00
0005434503488;6547;Economy;17800,00
0005434503484;6547;Economy;17800,00
0005434503490;6547;Economy;17800,00
0005434503468;6547;Economy;17800,00
0005434503482;6547;Economy;16100,00
0005435103797;6547;Economy;16100,00
0005435103796;6547;Economy;16100,00
0005434503479;6547;Economy;16100,00
0005435103802;6547;Economy;16100,00
0005434503471;6547;Economy;16100,00
0005434503494;6547;Economy;16100,00
0005434503483;6547;Economy;16100,00
0005434503474;6547;Economy;16100,00
0005434503464;6547;Economy;16100,00
0005434503476;6547;Economy;16100,00
0005435103803;6547;Economy;16100,00
0005434503462;6547;Economy;16100,00
0005434503459;6547;Economy;16100,00
0005435103799;6547;Economy;16100,00
0005434503458;6547;Economy;16100,00
0005434503466;6547;Economy;16100,00
0005434503478;6547;Economy;16100,00
0005434503470;6547;Economy;16100,00
0005434503486;6547;Economy;16100,00
0005434503489;6547;Economy;16100,00
0005434503491;6547;Economy;16100,00
0005435103793;6547;Economy;16100,00
0005435103795;6547;Economy;16100,00
0005434503485;6547;Economy;16100,00
0005434503477;6547;Economy;16100,00
0005434503461;6547;Economy;16100,00
0005434503473;6547;Economy;16100,00
0005434503496;6547;Economy;16100,00
0005435103794;6547;Economy;16100,00
0005434503475;6547;Economy;16100,00
0005434503493;6547;Economy;16100,00
0005435103801;6547;Economy;16100,00
0005435103798;6547;Economy;16100,00
0005435103800;6547;Economy;16100,00
0005434503481;6547;Economy;16100,00
0005434503480;6547;Economy;16100,00
0005435652274;1654;Business;50000,00
0005435652282;1654;Business;50000,00
0005435652261;1654;Business;50000,00
0005435652269;1654;Business;50000,00
0005435652292;1654;Business;50000,00
0005435652275;1654;Economy;16700,00
0005435652281;1654;Economy;16700,00
0005435652283;1654;Economy;16700,00
0005435652263;1654;Economy;16700,00
0005435652260;1654;Economy;18300,00
0005435652264;1654;Economy;18300,00
0005435652278;1654;Economy;16700,00
0005435652266;1654;Economy;16700,00
0005435652272;1654;Economy;16700,00
0005435652250;1654;Economy;16700,00
0005435652254;1654;Economy;16700,00
0005435652268;1654;Economy;16700,00
0005435652253;1654;Economy;16700,00
0005435652279;1654;Economy;16700,00
0005435652276;1654;Economy;16700,00
0005435652251;1654;Economy;16700,00
0005435652273;1654;Economy;16700,00
0005435652252;1654;Economy;16700,00
0005435652295;1654;Economy;16700,00
0005435652284;1654;Economy;16700,00
0005435652259;1654;Economy;16700,00
0005435652265;1654;Economy;16700,00
0005435652262;1654;Economy;16700,00
0005435652267;1654;Economy;16700,00
0005435652280;1654;Economy;16700,00
0005435652294;1654;Economy;16700,00
0005435652296;1654;Economy;16700,00
0005435652257;1654;Economy;16700,00
0005435652288;1654;Economy;16700,00
0005435652271;1654;Economy;16700,00
0005435652285;1654;Economy;16700,00
0005435652258;1654;Economy;16700,00
0005435652286;1654;Economy;16700,00
0005435652291;1654;Economy;16700,00
0005435652256;1654;Economy;16700,00
0005435652293;1654;Economy;16700,00
0005435652270;1654;Economy;16700,00
0005435652289;1654;Economy;16700,00
0005435652287;1654;Economy;16700,00
0005435652290;1654;Economy;16700,00
0005435652277;1654;Economy;16700,00
0005435652255;1654;Economy;16700,00
0005433367257;21707;Business;50000,00
0005433367244;21707;Business;50000,00
0005433367258;21707;Business;50000,00
0005433367221;21707;Business;50000,00
0005433367224;21707;Economy;16700,00
0005433367218;21707;Economy;16700,00
0005433367240;21707;Economy;16700,00
0005433367222;21707;Economy;18300,00
0005433367227;21707;Economy;18300,00
0005433367252;21707;Economy;18300,00
0005433367256;21707;Economy;16700,00
0005433367245;21707;Economy;16700,00
0005433367247;21707;Economy;16700,00
0005433367248;21707;Economy;16700,00
0005433367251;21707;Economy;16700,00
0005433367235;21707;Economy;16700,00
0005433367246;21707;Economy;16700,00
0005433367237;21707;Economy;16700,00
0005433367242;21707;Economy;16700,00
0005433367241;21707;Economy;16700,00
0005433367234;21707;Economy;16700,00
0005433367253;21707;Economy;16700,00
0005433367250;21707;Economy;16700,00
0005433367255;21707;Economy;16700,00
0005433367231;21707;Economy;16700,00
0005433367228;21707;Economy;16700,00
0005433367220;21707;Economy;16700,00
0005433367238;21707;Economy;16700,00
0005433367219;21707;Economy;16700,00
0005433367225;21707;Economy;16700,00
0005433367226;21707;Economy;16700,00
0005433367236;21707;Economy;16700,00
0005433367230;21707;Economy;16700,00
0005433367254;21707;Economy;16700,00
0005433367239;21707;Economy;16700,00
0005433367229;21707;Economy;16700,00
0005433367232;21707;Economy;16700,00
0005433367233;21707;Economy;16700,00
0005433367249;21707;Economy;16700,00
0005433367243;21707;Economy;16700,00
0005433367223;21707;Economy;16700,00
0005433985127;4135;Business;21500,00
0005433985129;4135;Business;21500,00
0005433985123;4135;Business;21500,00
0005433985126;4135;Business;21500,00
0005433985160;4135;Business;21500,00
0005435788725;4135;Business;21500,00
0005433985140;4135;Business;21500,00
0005433985155;4135;Business;21500,00
0005433985137;4135;Economy;7200,00
0005433985159;4135;Economy;7200,00
0005433985125;4135;Economy;7200,00
0005433985154;4135;Economy;7200,00
0005433985161;4135;Economy;7200,00
0005433985122;4135;Economy;7200,00
0005433985136;4135;Economy;7200,00
0005433985148;4135;Economy;7200,00
0005433985143;4135;Economy;7200,00
0005433985131;4135;Economy;7200,00
0005433985133;4135;Economy;7200,00
0005433985158;4135;Economy;7200,00
0005433985141;4135;Economy;7200,00
0005433985134;4135;Economy;7200,00
0005433985139;4135;Economy;7200,00
0005435788726;4135;Economy;7200,00
0005433985145;4135;Economy;7200,00
0005433985152;4135;Economy;7200,00
0005433985144;4135;Economy;7200,00
0005433985147;4135;Economy;7200,00
0005433985146;4135;Economy;7200,00
0005435788727;4135;Economy;7200,00
0005433985124;4135;Economy;7200,00
0005435788728;4135;Economy;7200,00
0005433985153;4135;Economy;7200,00
0005433985156;4135;Economy;7200,00
0005433985130;4135;Economy;7200,00
0005433985150;4135;Economy;7200,00
0005433985132;4135;Economy;7200,00
0005433985151;4135;Economy;7200,00
0005433985157;4135;Economy;7200,00
0005433985135;4135;Economy;7200,00
0005433985142;4135;Economy;7200,00
0005433985128;4135;Economy;7200,00
0005433985149;4135;Economy;7200,00
0005433985138;4135;Economy;7200,00
0005433168301;21332;Economy;15500,00
0005433168299;21332;Economy;15500,00
0005433168302;21332;Economy;15500,00
0005433168300;21332;Economy;15500,00
0005432869415;17856;Business;18000,00
0005432869416;17856;Economy;6000,00
0005432869413;17856;Economy;6000,00
0005434151654;17856;Economy;6000,00
0005434151656;17856;Economy;6000,00
0005432869412;17856;Economy;6000,00
0005434151655;17856;Economy;6000,00
0005432869414;17856;Economy;6000,00
0005432327913;3108;Business;16100,00
0005432327892;3108;Business;16100,00
0005432327911;3108;Business;16100,00
0005432327914;3108;Business;16100,00
0005432287105;3108;Economy;5400,00
0005432287104;3108;Economy;5400,00
0005432287101;3108;Economy;5400,00
0005432327915;3108;Economy;5400,00
0005432327904;3108;Economy;5400,00
0005432327907;3108;Economy;5400,00
0005432327925;3108;Economy;5900,00
0005432327930;3108;Economy;5900,00
0005432327894;3108;Economy;5900,00
0005432287100;3108;Economy;5900,00
0005433438767;3108;Economy;5900,00
0005432327931;3108;Economy;5400,00
0005432327923;3108;Economy;5400,00
0005432327898;3108;Economy;5400,00
0005432327920;3108;Economy;5400,00
0005432327928;3108;Economy;5400,00
0005432327893;3108;Economy;5400,00
0005432327921;3108;Economy;5400,00
0005432327934;3108;Economy;5400,00
0005432327912;3108;Economy;5400,00
0005432327901;3108;Economy;5400,00
0005432327929;3108;Economy;5400,00
0005432327932;3108;Economy;5400,00
0005432287099;3108;Economy;5400,00
0005432327924;3108;Economy;5400,00
0005432327903;3108;Economy;5400,00
0005433438765;3108;Economy;5400,00
0005432327890;3108;Economy;5400,00
0005432327896;3108;Economy;5400,00
0005433438764;3108;Economy;5400,00
0005433438763;3108;Economy;5400,00
0005432327917;3108;Economy;5400,00
0005432327906;3108;Economy;5400,00
0005432327910;3108;Economy;5400,00
0005432287103;3108;Economy;5400,00
0005432327919;3108;Economy;5400,00
0005432327895;3108;Economy;5400,00
0005432327926;3108;Economy;5400,00
0005432327899;3108;Economy;5400,00
0005432327902;3108;Economy;5400,00
0005432327897;3108;Economy;5400,00
0005432327909;3108;Economy;5400,00
0005432287102;3108;Economy;5400,00
0005433438766;3108;Economy;5400,00
0005432327937;3108;Economy;5400,00
0005432327891;3108;Economy;5400,00
0005432327922;3108;Economy;5400,00
0005432327905;3108;Economy;5400,00
0005432327935;3108;Economy;5400,00
0005432327900;3108;Economy;5400,00
0005432327927;3108;Economy;5400,00
0005432327936;3108;Economy;5400,00
0005432327918;3108;Economy;5400,00
0005432327908;3108;Economy;5400,00
0005432327916;3108;Economy;5400,00
0005432327933;3108;Economy;5400,00
0005432905025;31103;Business;16100,00
0005432054254;31103;Economy;5400,00
0005432905022;31103;Economy;5400,00
0005432905024;31103;Economy;5400,00
0005432905023;31103;Economy;5400,00
0005432054252;31103;Economy;5400,00
0005432905019;31103;Economy;5400,00
0005432905020;31103;Economy;5400,00
0005432905021;31103;Economy;5400,00
0005432054253;31103;Economy;5400,00
0005434309500;6223;Business;124600,00
0005434309510;6223;Business;124600,00
0005432146164;6223;Business;124600,00
0005434309502;6223;Business;124600,00
0005435998953;6223;Economy;41500,00
0005435998957;6223;Economy;41500,00
0005434309511;6223;Economy;41500,00
0005435998963;6223;Economy;41500,00
0005434309508;6223;Economy;41500,00
0005434309506;6223;Economy;41500,00
0005435998956;6223;Economy;41500,00
0005435998965;6223;Economy;41500,00
0005434309509;6223;Economy;41500,00
0005435998964;6223;Economy;45700,00
0005435998952;6223;Economy;45700,00
0005435998959;6223;Economy;41500,00
0005434309501;6223;Economy;41500,00
0005435998962;6223;Economy;41500,00
0005434309513;6223;Economy;41500,00
0005434309512;6223;Economy;41500,00
0005435998958;6223;Economy;41500,00
0005435998954;6223;Economy;41500,00
0005432146163;6223;Economy;41500,00
0005435998966;6223;Economy;41500,00
0005435998961;6223;Economy;41500,00
0005435998960;6223;Economy;41500,00
0005434309505;6223;Economy;41500,00
0005434309507;6223;Economy;41500,00
0005434309503;6223;Economy;41500,00
0005435998967;6223;Economy;41500,00
0005434309504;6223;Economy;41500,00
0005432146165;6223;Economy;41500,00
0005435998955;6223;Economy;41500,00
0005435998951;6223;Economy;41500,00
0005435296942;19528;Business;124600,00
0005435296939;19528;Business;124600,00
0005435296941;19528;Economy;41500,00
0005435296938;19528;Economy;41500,00
0005435296943;19528;Economy;41500,00
0005435296940;19528;Economy;41500,00
0005433158094;17534;Economy;12300,00
0005433158093;17534;Economy;12300,00
0005435501945;1567;Business;86000,00
0005435508176;1567;Business;86000,00
0005435501931;1567;Business;86000,00
0005434565681;1567;Business;86000,00
0005435501933;1567;Business;86000,00
0005434565690;1567;Business;86000,00
0005435517599;1567;Business;86000,00
0005435508167;1567;Business;86000,00
0005435501932;1567;Economy;28700,00
0005435501936;1567;Economy;28700,00
0005435501950;1567;Economy;28700,00
0005434565688;1567;Economy;28700,00
0005435517590;1567;Economy;28700,00
0005435517605;1567;Economy;28700,00
0005435508174;1567;Economy;31500,00
0005435501947;1567;Economy;31500,00
0005432291890;1567;Economy;31500,00
0005435508166;1567;Economy;31500,00
0005435501941;1567;Economy;28700,00
0005434565686;1567;Economy;28700,00
0005435517602;1567;Economy;28700,00
0005435517591;1567;Economy;28700,00
0005434565678;1567;Economy;28700,00
0005435517595;1567;Economy;28700,00
0005435501937;1567;Economy;28700,00
0005435508164;1567;Economy;28700,00
0005434565684;1567;Economy;28700,00
0005435501943;1567;Economy;28700,00
0005434565687;1567;Economy;28700,00
0005435517604;1567;Economy;28700,00
0005435501948;1567;Economy;28700,00
0005435517596;1567;Economy;28700,00
0005435501946;1567;Economy;28700,00
0005435517603;1567;Economy;28700,00
0005432291889;1567;Economy;28700,00
0005435517594;1567;Economy;28700,00
0005435508173;1567;Economy;28700,00
0005435501944;1567;Economy;28700,00
0005434565679;1567;Economy;28700,00
0005435508171;1567;Economy;28700,00
0005435517600;1567;Economy;28700,00
0005434565682;1567;Economy;28700,00
0005435508170;1567;Economy;28700,00
0005435501952;1567;Economy;28700,00
0005435501935;1567;Economy;28700,00
0005435508165;1567;Economy;28700,00
0005435501938;1567;Economy;28700,00
0005435508175;1567;Economy;28700,00
0005434565689;1567;Economy;28700,00
0005435517585;1567;Economy;28700,00
0005435517601;1567;Economy;28700,00
0005435501949;1567;Economy;28700,00
0005435517587;1567;Economy;28700,00
0005435517598;1567;Economy;28700,00
0005434565691;1567;Economy;28700,00
0005435517589;1567;Economy;28700,00
0005435508168;1567;Economy;28700,00
0005435517588;1567;Economy;28700,00
0005435501940;1567;Economy;28700,00
0005435501951;1567;Economy;28700,00
0005434565677;1567;Economy;28700,00
0005434565685;1567;Economy;28700,00
0005435517592;1567;Economy;28700,00
0005435501942;1567;Economy;28700,00
0005434565683;1567;Economy;28700,00
0005435517597;1567;Economy;28700,00
0005435501934;1567;Economy;28700,00
0005435508169;1567;Economy;28700,00
0005435517593;1567;Economy;28700,00
0005435517586;1567;Economy;28700,00
0005435501939;1567;Economy;28700,00
0005435517606;1567;Economy;28700,00
0005434565680;1567;Economy;28700,00
0005435508172;1567;Economy;28700,00
0005433185971;20846;Business;86000,00
0005433185974;20846;Business;86000,00
0005433185975;20846;Economy;28700,00
0005433185970;20846;Economy;28700,00
0005433185968;20846;Economy;31500,00
0005433185969;20846;Economy;28700,00
0005433185973;20846;Economy;28700,00
0005433185972;20846;Economy;28700,00
0005435153627;3925;Economy;21600,00
0005435153628;3925;Economy;19700,00
0005435153626;3925;Economy;19700,00
0005435153631;3925;Economy;19700,00
0005435153629;3925;Economy;19700,00
0005435153630;3925;Economy;19700,00
0005435931536;21848;Economy;19700,00
0005435931538;21848;Economy;19700,00
0005435931537;21848;Economy;19700,00
0005432628586;7226;Economy;14300,00
0005432628591;7226;Economy;13000,00
0005432628592;7226;Economy;13000,00
0005432628588;7226;Economy;13000,00
0005432628593;7226;Economy;13000,00
0005432628595;7226;Economy;13000,00
0005432628596;7226;Economy;13000,00
0005432628597;7226;Economy;13000,00
0005432628599;7226;Economy;13000,00
0005432628594;7226;Economy;13000,00
0005432628589;7226;Economy;13000,00
0005432628590;7226;Economy;13000,00
0005432628585;7226;Economy;13000,00
0005432628598;7226;Economy;13000,00
0005432628587;7226;Economy;13000,00
0005435225447;28100;Economy;13000,00
0005435225445;28100;Economy;13000,00
0005435225446;28100;Economy;13000,00
0005435225449;28100;Economy;13000,00
0005435225444;28100;Economy;13000,00
0005435225443;28100;Economy;13000,00
0005435225448;28100;Economy;13000,00
0005435959984;8719;Economy;10500,00
0005435959983;8719;Economy;10500,00
0005435959985;8719;Economy;10500,00
0005435959982;8719;Economy;10500,00
0005434267884;15264;Economy;10500,00
0005434267885;15264;Economy;10500,00
0005434267886;15264;Economy;10500,00
0005432674869;1214;Business;115000,00
0005432674874;1214;Business;115000,00
0005432674868;1214;Business;115000,00
0005432674866;1214;Business;115000,00
0005432674876;1214;Business;115000,00
0005432674865;1214;Business;115000,00
0005432674875;1214;Economy;38300,00
0005432674873;1214;Economy;42200,00
0005432674872;1214;Economy;38300,00
0005432674867;1214;Economy;38300,00
0005432674871;1214;Economy;38300,00
0005432674863;1214;Economy;38300,00
0005432674870;1214;Economy;38300,00
0005432674877;1214;Economy;38300,00
0005432674864;1214;Economy;38300,00
0005432873167;17509;Business;115000,00
0005432873168;17509;Business;115000,00
0005432873172;17509;Business;115000,00
0005432873165;17509;Economy;38300,00
0005432873171;17509;Economy;38300,00
0005432873166;17509;Economy;38300,00
0005432873173;17509;Economy;38300,00
0005432873169;17509;Economy;38300,00
0005432873170;17509;Economy;38300,00
0005434434912;1127;Economy;13900,00
0005434434913;1127;Economy;13900,00
0005434434915;1127;Economy;13900,00
0005434434918;1127;Economy;13900,00
0005434434919;1127;Economy;13900,00
0005434434922;1127;Economy;13900,00
0005434434924;1127;Economy;13900,00
0005434434910;1127;Economy;13900,00
0005434434914;1127;Economy;13900,00
0005434434909;1127;Economy;13900,00
0005434434921;1127;Economy;13900,00
0005434434911;1127;Economy;13900,00
0005434434920;1127;Economy;13900,00
0005434434916;1127;Economy;13900,00
0005434434917;1127;Economy;13900,00
